repo,seed,model,variant,bbox_mAP,bbox_mAP_50,bbox_mAP_75,bbox_mAP_s,bbox_mAP_m,finished_at,summary_path,test_json,notes
varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet,43,dyhead,base,0.329,0.908,0.114,0.308,0.377,2026-07-15T14:55:13.234591+00:00,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed43/dyhead/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed43/dyhead/base/test_results/20260715_145446/20260715_145446.json,
varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet,44,dyhead,base,0.33,0.903,0.106,0.318,0.358,2026-07-15T15:48:04.960888+00:00,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed44/dyhead/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed44/dyhead/base/test_results/20260715_154737/20260715_154737.json,
varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet,42,dyhead,dgfe_api,0.342,0.912,0.128,0.324,0.372,2026-07-16T02:56:04.824881+00:00,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed42/dyhead/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed42/dyhead/dgfe_api/test_results/20260716_025538/20260716_025538.json,
varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet,43,dyhead,dgfe_api,0.327,0.904,0.115,0.306,0.371,2026-07-16T03:49:21.500814+00:00,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed43/dyhead/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed43/dyhead/dgfe_api/test_results/20260716_034854/20260716_034854.json,
varroa_srtod_runs,44,faster,srtod,0.316,0.885,0.106,0.322,0.319,2026-07-13T16:25:30.013057+00:00,hf_runs/varroa_srtod_runs/srtod_faster/job_summary.json,hf_runs/varroa_srtod_runs/srtod_faster/test_results/20260713_162458/20260713_162458.json,multiple test jsons: 3; used latest 20260713_162458
varroa_mmdet_runs_dgfe,44,faster_rcnn,base,0.332,0.906,0.115,0.334,0.339,2026-07-13T05:53:00.094711+00:00,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed44/faster_rcnn/base/job_summary.json,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed44/faster_rcnn/base/test_results/20260713_055246/20260713_055246.json,
varroa_mmdet_runs_newmodels,44,faster_rcnn,base,0.332,0.906,0.115,0.334,0.339,2026-07-13T05:53:00.094711+00:00,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed44/faster_rcnn/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed44/faster_rcnn/base/test_results/20260713_055246/20260713_055246.json,
varroa_mmdet_runs_dgfe,42,faster_rcnn,dgfe_api,0.366,0.906,0.167,0.366,0.374,2026-07-13T11:44:42.754892+00:00,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed42/faster_rcnn/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed42/faster_rcnn/dgfe_api/test_results/20260713_114426/20260713_114426.json,multiple test jsons: 3; used latest 20260713_114426
varroa_mmdet_runs_newmodels,42,faster_rcnn,dgfe_api,0.366,0.906,0.167,0.366,0.374,2026-07-13T11:44:42.754892+00:00,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed42/faster_rcnn/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed42/faster_rcnn/dgfe_api/test_results/20260713_114426/20260713_114426.json,multiple test jsons: 3; used latest 20260713_114426
varroa_mmdet_runs_dgfe,43,faster_rcnn,dgfe_api,0.363,0.91,0.187,0.352,0.384,2026-07-13T11:46:24.873924+00:00,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed43/faster_rcnn/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed43/faster_rcnn/dgfe_api/test_results/20260713_114608/20260713_114608.json,multiple test jsons: 3; used latest 20260713_114608
